Boat Year,Make,Model,Engine Make,Engine HP,Trade in Value
2018,Tracker,Guide V16 DLX,Mercury,25,"$11,000.00"
2018,Legend,15 AllSport,Mercury,30,"$23,945.60"
2018,Legend,Splash EXT,Mercury,40,"$35,364.36"
2018,Legend,X16,Mercury,60,"$20,000.00"
2018,Legend,14 WideBody LS,Mercury,15,"$5,000.00"
2018,Legend,Enjoy Lounging,Mercury,60,"$34,899.00"
2018,Legend,Splash + Cottage EXT,Mercury,60,"$26,000.00"
2018,Legend,Vibe D20,Mercury,150,"$41,500.00"
2018,Legend,15 AllSport,Mercury,25,"$12,000.00"
2018,Seadoo,GTX Limited 230,N/A,N/A,"$15,000.00"
2018,Legend,18 XTR,Mercury,90,"$27,000.00"
2018,Legend,1625 Fury XL,Mercury,60,"$25,000.00"
2018,Legend,15 Angler,Mercury,40,"$13,500.00"
2018,Legend,X18,Mercury,90,"$30,000.00"
2018,Legend,16 XTR,Mercury,90,"$24,000.00"
2018,Legend,16 Widebody LS,Mercury,30,"$6,000.00"
2018,PrinceCraft,Holiday DLX 162,Mercury,60,"$17,000.00"
2018,Tracker,Pro-Guide V165,Mercury,60,"$19,000.00"
2018,Legend,15 AllSport,Mercury,50,"$14,800.00"
2018,Chaparral,19 H20,N/A,N/A,"$40,000.00"
2018,Legend,X16,Mercury,60,"$24,000.00"
2018,Legend,18 XTR,Mercury,115,"$30,000.00"
2018,Legend,X18,Mercury,90,"$31,000.00"
2018,Legend,18 XTR,Mercury,115,"$28,912.28"
2018,Starcraft,EX 18 C,Mercury,50,"$18,000.00"
2019,Legend,15 Angler,Mercury,40,"$13,333.33"
2019,Legend,16 Xterminator D,Mercury,60,"$20,000.00"
2019,Legend,16 ProSport LS,Mercury,25,"$10,170.00"
2019,Legend,X16,Mercury,90,"$41,470.00"
2019,Legend,Vibe D19,Mercury,150,"$33,000.00"
2019,Legend,16 XTR,Mercury,90,"$25,500.00"
2019,Legend,F19,Mercury,115,"$34,000.00"
2019,Legend,16 XTR S,N/A,N/A,"$25,334.00"
2019,Princecraft,170 Hudson DLX WS,Mercury,115,"$36,000.00"
2019,Legend,Splash + SuperFlex,Mercury,60,"$48,888.41"
2019,Legend,F17,Mercury,115,"$32,200.00"
2019,Legend,15 Angler,Mercury,50,"$14,000.00"
2019,Legend,16 XTR S,Mercury,60,"$23,750.00"
2019,Legend,15 Angler,Mercury,30,"$12,500.00"
2019,Legend,X16,Mercury,60,"$33,000.00"
2019,Legend,18 XTR,Mercury,115,"$38,037.70"
2019,Legend,16 XTE,N/A,N/A,"$29,138.00"
2019,Legend,15 Angler,Mercury,30,"$15,200.00"
2019,Legend,"18 XTR Troller 20"" ",Mercury,115,"$38,000.00"
2019,Legend,15 AllSport,Mercury,40,"$17,500.00"
2019,CanAm,Maverick R Sport 1000cc,N/A,N/A,"$17,500.00"
2019,Legend,16 XTE Tiller,Mercury,60,"$25,999.00"
2019,Legend,Enjoy Freedom,Mercury,60,"$25,000.00"
2019,Legend,16 XTR S,Mercury,60,"$17,000.00"
2019,Legend,F17,Mercury,115,"$28,000.00"
2019,Legend,Splash + Flex,Mercury,60,"$31,000.00"
2019,Legend,Splash + Flex,Mercury,40,"$20,000.00"
2019,Legend,15 AllSport,Mercury,40,"$14,000.00"
2019,Legend,16 XTR,Mercury,60,"$23,600.00"
2019,Legend,Splash + Cottage EXT,Mercury,90,"$33,000.00"
2019,Legend,X16,Mercury,90,"$26,000.00"
2019,Legend,16 XTE SPORT,N/A,N/A,"$17,889.00"
2019,Legend,16 XTR,Mercury,90,"$24,000.00"
2019,Honda,Gold Wing GL1800,N/A,N/A,"$18,000.00"
2020,Legend,16 ProSport LS,Mercury,25,"$12,500.00"
2020,Legend,16 XTE SC,Mercury,60,"$26,999.00"
2020,Legend,15 Angler,Mercury,40,"$15,000.00"
2020,Legend,16 XTE SPORT,N/A,N/A,"$26,534.00"
2020,Legend,18 XTR,Mercury,115,"$37,000.00"
2020,Bayliner,Element E18,Mercury,115,"$29,737.00"
2020,Legend,16 Widebody LS,Mercury,25,"$9,000.00"
2020,Legend,Q-Series Lounge Sport PRO,Mercury,90,"$40,000.00"
2020,Legend,16 XTE SPORT,Mercury,50,"$25,000.00"
2020,Legend,16 ProSport LS,Mercury,30,"$14,000.00"
2020,Legend,16 ProSport SC,Mercury,25,"$13,000.00"
2020,Legend,16 XTE SC,Mercury,60,"$21,500.00"
2020,Legend,16 ProSport LS,Mercury,30,"$12,000.00"
2020,Legend,14 ProSport LS,Mercury,20,"$10,000.00"
2020,Legend,Vibe D23 FW,Mercury,200,"$54,000.00"
2020,Alumacraft,Escape 165,E-TECH,50,"$16,000.00"
2021,Legend,16 XTE SPORT,Mercury,60,"$31,000.00"
2021,Legend,16 XTR,Mercury,90,"$39,961.22"
2021,Legend,L-Series Lounge Sport Black Edition,Mercury,150,"$72,060.00"
2021,Legend,16 XTE SC SPORT,Mercury,60,"$23,000.00"
2021,Legend,F17,Mercury,90,"$40,000.00"
2021,Legend,Splash + Flex,Mercury,50,"$36,000.00"
2021,Legend,F17,Mercury,90,"$33,500.00"
2021,Legend,18 XTR Troller,Mercury,115,"$44,250.00"
2021,Innovocean,MA-360 Inflatable Boat,Tohatsu,9.8,"$3,500.00"
2021,Legend,16 XTE SC,Mercury,90,"$24,500.00"
2021,PrinceCraft,Sport 172,Mercury,115,"$37,400.00"
2021,Legend,16 XTE SPORT,Mercury,75,"$24,500.00"
2021,Legend,15 Angler,Mercury,50,"$14,000.00"
2021,Lund,1600 Fury SS,Mercury,30,"$18,000.00"
